city,number
가평군,1003
고양시 덕양구,4439
고양시 일산동구,3972
고양시 일산서구,3111
과천시,166
광명시,4469
광주시,11900
구리시,1402
군포시,6248
김포시,18796
남양주시,7141
동두천시,3334
부천시,24405
성남시분당구,2669
성남시수정구,9670
성남시중원구,2845
수원시권선구,9508
수원시영통구,6970
수원시장안구,6548
수원시팔달구,12809
시흥시,32410
안산시단원구,39090
안산시상록구,12180
안성시,11222
안양시동안구,1552
안양시만안구,4991
양주시,7011
양평군,1364
여주시,3461
연천군,917
오산시,9231
용인시기흥구,4485
용인시수지구,2592
용인시처인구,9654
의왕시,1062
의정부시,4745
이천시,7030
파주시,10655
평택시,23168
포천시,12115
하남시,2168
화성시,37636
