city,total,foreign,rate
음성군,"104,823","15,676",15
영등포구,"394,083","55,524",14.1
금천구,"249,747","32,851",13.2
경기,"159,871","21,113",13.2
안산시,"714,650","92,787",13
구로구,"435,560","54,937",12.6
영암군,"57,476","7,269",12.6
진천군,"87,525","10,462",12
시흥시,"508,749","59,634",11.7
서울 중구,"130,957","13,796",10.5
안성시,"202,284","19,999",9.9
용산구,"227,181","22,332",9.8
아산시,"347,032","32,271",9.3
종로구,"154,969","14,195",9.2
고령군,"32,191","2,841",8.8
함안군,"66,611","5,752",8.6
진도군,"29,295","2,521",8.6
오산시,"233,998","18,605",8
화성시,"838,635","65,040",7.8
금산군,"54,442","4,201",7.7
평택시,"521,172","39,835",7.6
경주시,"264,314","19,958",7.6
창녕군,"62,370","4,708",7.5
김포시,"442,910","32,522",7.3
완도군,"48,366","3,506",7.2
강원 고성군,"27,144","1,887",7
성주군,"41,314","2,810",6.8
동대문구,"355,094","23,645",6.7
광진구,"359,766","23,823",6.6
당진시,"169,171","10,674",6.3
완주군,"96,212","6,101",6.3
논산시,"122,111","7,610",6.2
부산 중구,"41,958","2,620",6.2
서귀포시,"177,360","10,846",6.1
관악구,"507,828","30,247",6
광주시,"375,238","22,641",6
경산시,"290,088","17,540",6
동두천시,"96,541","5,784",6
부산 강서구,"128,809","7,544",5.9
김해시,"549,331","31,744",5.8
양주시,"224,684","13,105",5.8
이천시,"222,995","12,866",5.8
연수구,"374,413","21,295",5.7
서대문구,"319,394","18,179",5.7
영천시,"100,487","5,712",5.7
부천시,"836,751","46,807",5.6
부평구,"514,385","28,564",5.6
울주군,"226,501","12,582",5.6
칠곡군,"118,517","6,583",5.6
여주시,"111,981","6,323",5.6
수원시,"1,214,986","67,073",5.5
광산구,"423,310","23,334",5.5
예산군,"78,963","4,363",5.5
장성군,"42,193","2,322",5.5
의령군,"26,040","1,395",5.4
천안시,"679,743","35,781",5.3
동작구,"400,368","20,697",5.2
거제시,"251,226","13,129",5.2
인천 중구,"131,863","6,800",5.2
통영시,"129,931","6,725",5.2
사천시,"111,110","5,803",5.2
보령시,"99,320","5,116",5.2
울진군,"47,651","2,486",5.2
괴산군,"38,808","1,966",5.1
함평군,"30,556","1,572",5.1
정읍시,"107,348","5,354",5
밀양시,"103,402","5,153",5
영덕군,"35,672","1,798",5
